claim_id,parent_claim_id,source_anchor,risk_rating,phase_2e_status,mcq_status
CLM-P2C-LAW-001,,BPC 7031(a),High,Legal Review Required Before Drafting,No MCQ created
CLM-P2C-LAW-002,,BPC 7031(b),High,Legal Review Required Before Drafting,No MCQ created
CLM-P2C-LAW-003,,BPC 7068(a),Medium,Drafting Candidate Later,No MCQ created
CLM-P2C-LAW-004,,BPC 7068(b)(1)-(4),Medium,Retired from pilot,No MCQ created
CLM-P2E-LAW-004A,CLM-P2C-LAW-004,BPC 7068(b)(1),Medium,Narrowed/Split Claim Created,No MCQ created
CLM-P2E-LAW-004B,CLM-P2C-LAW-004,BPC 7068(b)(2),Medium,Narrowed/Split Claim Created,No MCQ created
CLM-P2E-LAW-004C,CLM-P2C-LAW-004,BPC 7068(b)(3),Medium,Narrowed/Split Claim Created,No MCQ created
CLM-P2E-LAW-004D,CLM-P2C-LAW-004,BPC 7068(b)(4),Medium,Narrowed/Split Claim Created,No MCQ created
CLM-P2C-LAW-005,,BPC 7068(c)(1),Medium,Drafting Candidate Later,No MCQ created
CLM-P2C-LAW-006,,BPC 7068(c)(2)(B),Medium,Source/Currentness Recheck Required,No MCQ created
CLM-P2C-LAW-007,,BPC 7071.6(a),Low,Drafting Candidate Later,No MCQ created
CLM-P2C-LAW-008,,BPC 7071.6(c),Medium,Legal Review Required Before Drafting,No MCQ created
CLM-P2C-LAW-009,,BPC 7159(a)(1)-(4),Medium,Retired from pilot,No MCQ created
CLM-P2E-LAW-009A,CLM-P2C-LAW-009,BPC 7159(a)(1),Medium,Narrowed/Split Claim Created,No MCQ created
CLM-P2E-LAW-009B,CLM-P2C-LAW-009,BPC 7159(a)(2),Medium,Narrowed/Split Claim Created,No MCQ created
CLM-P2E-LAW-009C,CLM-P2C-LAW-009,BPC 7159(a)(3),Medium,Narrowed/Split Claim Created,No MCQ created
CLM-P2E-LAW-009D,CLM-P2C-LAW-009,BPC 7159(a)(4),Medium,Narrowed/Split Claim Created,No MCQ created
CLM-P2C-LAW-010,,BPC 7159(b),Medium,Drafting Candidate Later,No MCQ created
CLM-P2C-LAW-011,,BPC 7159(c)(3)(A),Medium,Drafting Candidate Later,No MCQ created
CLM-P2C-LAW-012,,BPC 7159(c)(5),Medium,Legal Review Required Before Drafting,No MCQ created
CLM-P2C-LAW-013,,BPC 7159.5(a)(3),Medium,Drafting Candidate Later,No MCQ created
CLM-P2C-LAW-014,,BPC 7159.5(a)(5),Medium,Drafting Candidate Later,No MCQ created
CLM-P2C-LAW-015,,Civil Code 8200(a)-(e),High,Legal Review Required Before Drafting,No MCQ created
